Rank,School Name,name,latitude,longitude
144,Palm View Primary School,Palm View Primary School,1.38376923,103.8913547
145,Si Ling Primary School,Si Ling Primary School,1.432409357,103.7860351
146,Farrer Park Primary School,Farrer Park Primary School,1.312368677,103.8507664
147,Marymount Convent School,Marymount Convent School,1.34036677,103.8400211
148,Yuhua Primary School,Yuhua Primary School,1.342802305,103.7411058
149,Corporation Primary School,Corporation Primary School,1.338203977,103.7180895
150,Kranji Primary School,Kranji Primary School,1.393560505,103.7473627
151,Ang Mo Kio Primary School,Ang Mo Kio Primary School,1.365587821,103.8509571
152,Mayflower Primary School,Mayflower Primary School,1.376146217,103.8358052
153,Northoaks Primary School,Northoaks Primary School,1.45660782,103.814197
154,North Vista Primary School,North Vista Primary School,1.38282243,103.8959619
155,Greenwood Primary School,Greenwood Primary School,1.439899583,103.8047256
156,Park View Primary School,Park View Primary School,1.377380699,103.9395417
157,Stamford Primary School,Stamford Primary School,1.30402,103.85705
158,Cedar Primary School,Cedar Primary School,1.335588501,103.875621
159,West View Primary School,West View Primary School,1.38367582,103.7602404
160,Unity Primary School,Unity Primary School,1.402854819,103.7468226
161,Zhonghua Primary School,Zhonghua Primary School,1.360203297,103.8697624
162,Marsiling Primary School,Marsiling Primary School,1.43383904,103.773643
163,Seng Kang Primary School,Seng Kang Primary School,1.389497404,103.8997671
164,Teck Whye Primary School,Teck Whye Primary School,1.383649968,103.7532919
165,Townsville Primary School,Townsville Primary School,1.360032637,103.853826
166,Telok Kurau Primary School,Telok Kurau Primary School,1.331045854,103.910934
167,Xinghua Primary School,Xinghua Primary School,1.357908936,103.8904729
168,Boon Lay Garden Primary School,Boon Lay Garden Primary School,1.343178538,103.7132809
169,Bukit View Primary School,Bukit View Primary School,1.345860548,103.7536664
170,Cantonment Primary School,Cantonment Primary School,1.275472526,103.8399626
171,Ahmad Ibrahim Primary School,Ahmad Ibrahim Primary School,1.433152715,103.8329424
172,Bukit Timah Primary School,Bukit Timah Primary School,1.337299558,103.7668287
173,North Spring Primary School,North Spring Primary School,1.387061465,103.9032027
174,Meridian Primary School,Meridian Primary School,1.375528317,103.9348891
175,Juying Primary School,Juying Primary School,1.338359769,103.6882062
176,Guangyang Primary School,Guangyang Primary School,1.3459,103.8493
177,New Town Primary School,New Town Primary School,1.299641882,103.8001022
178,Greendale Primary School,Greendale Primary School,1.396481951,103.9123346
179,First Toa Payoh Primary School,First Toa Payoh Primary School,1.340322995,103.8555299
180,Beacon Primary School,Beacon Primary School,1.383949362,103.773632
181,Lianhua Primary School,Lianhua Primary School,1.354241911,103.7541658
182,Gan Eng Seng Primary School,Gan Eng Seng Primary School,1.285595165,103.8155474
183,Angsana Primary School,Angsana Primary School,1.348552876,103.9518081
184,Yio Chu Kang Primary School,Yio Chu Kang Primary School,1.377932643,103.8856437
185,Northshore Primary School,Northshore Primary School,1.41836,103.90448
186,Valour Primary School,Valour Primary School,1.406835702,103.8990781
187,Coral Primary School,Coral Primary School,1.36797826,103.9510873
188,Da Qiao Primary School,Da Qiao Primary School,1.371933083,103.8587005
189,East Coast Primary School,East Coast Primary School,1.329303565,103.9201195
190,East View Primary School,East View Primary School,1.346871978,103.9394901
