Date,Open,High,Low,Close
09/27/2022,"3,178.09","3,181.61","3,158.32","3,165.50"
09/26/2022,"3,214.57","3,223.51","3,169.80","3,181.97"
09/23/2022,"3,242.38","3,247.92","3,224.58","3,227.10"
09/22/2022,"3,250.67","3,266.64","3,243.46","3,263.07"
09/21/2022,"3,261.54","3,271.96","3,254.77","3,261.79"
09/20/2022,"3,265.91","3,275.51","3,261.63","3,266.94"
09/19/2022,"3,259.57","3,274.47","3,252.21","3,256.31"
09/16/2022,"3,261.92","3,279.68","3,250.51","3,268.29"
09/15/2022,"3,262.53","3,277.62","3,260.73","3,267.98"
09/14/2022,"3,241.36","3,266.32","3,241.36","3,258.02"
09/13/2022,"3,280.17","3,297.59","3,278.84","3,290.08"
09/12/2022,"3,277.34","3,279.75","3,264.76","3,274.72"
09/09/2022,"3,243.20","3,266.64","3,238.89","3,262.95"
09/08/2022,"3,230.79","3,242.98","3,227.48","3,233.61"
09/07/2022,"3,207.14","3,217.51","3,198.39","3,210.83"
09/06/2022,"3,223.15","3,234.45","3,217.17","3,224.18"
09/05/2022,"3,211.96","3,222.61","3,207.09","3,215.48"
09/02/2022,"3,214.50","3,223.50","3,200.58","3,205.69"
09/01/2022,"3,211.56","3,224.08","3,224.08","3,224.08"
08/31/2022,"3,224.17","3,233.61","3,212.18","3,221.67"
08/30/2022,"3,221.74","3,249.35","3,221.74","3,239.33"
08/29/2022,"3,210.13","3,225.92","3,205.58","3,222.26"
08/26/2022,"3,249.97","3,264.18","3,248.12","3,249.53"
08/25/2022,"3,240.90","3,256.55","3,237.21","3,247.80"
08/24/2022,"3,243.83","3,246.60","3,227.90","3,233.48"
08/23/2022,"3,251.28","3,259.42","3,224.98","3,246.21"
08/22/2022,"3,240.03","3,270.82","3,235.31","3,262.57"
08/19/2022,"3,270.60","3,271.95","3,240.05","3,246.51"
08/18/2022,"3,257.64","3,288.47","3,257.48","3,273.48"
08/17/2022,"3,254.60","3,272.06","3,253.46","3,262.76"
08/16/2022,"3,250.84","3,259.92","3,243.96","3,253.79"
08/15/2022,"3,261.40","3,267.44","3,256.12","3,256.82"
08/12/2022,"3,287.36","3,289.50","3,266.17","3,269.27"
08/11/2022,"3,296.27","3,307.29","3,287.84","3,301.96"
08/10/2022,"3,270.89","3,289.47","3,269.24","3,286.33"
08/08/2022,"3,278.35","3,278.35","3,255.18","3,270.98"
08/05/2022,"3,275.19","3,285.29","3,268.47","3,282.88"
08/04/2022,"3,258.35","3,270.59","3,242.29","3,269.86"
08/03/2022,"3,241.67","3,257.40","3,231.67","3,252.06"
08/02/2022,"3,231.45","3,244.06","3,227.37","3,239.15"
08/01/2022,"3,215.42","3,254.49","3,211.14","3,238.75"
07/29/2022,"3,238.15","3,244.29","3,199.96","3,211.56"
07/28/2022,"3,216.99","3,225.35","3,203.73","3,220.65"
07/27/2022,"3,188.05","3,207.32","3,178.67","3,205.14"
07/26/2022,"3,174.91","3,192.12","3,192.12","3,192.12"
07/25/2022,"3,176.01","3,209.76","3,175.48","3,180.47"
07/22/2022,"3,162.96","3,186.57","3,162.96","3,181.34"
07/21/2022,"3,165.23","3,166.28","3,144.77","3,152.30"
07/20/2022,"3,135.21","3,170.29","3,170.29","3,170.29"
07/19/2022,"3,109.95","3,124.87","3,108.43","3,117.79"
07/18/2022,"3,113.97","3,126.21","3,112.01","3,121.76"
07/15/2022,"3,094.02","3,108.22","3,088.25","3,099.15"
07/14/2022,"3,119.29","3,120.78","3,089.43","3,090.63"
07/13/2022,"3,148.42","3,150.11","3,117.86","3,128.69"
07/12/2022,"3,135.76","3,147.73","3,129.38","3,145.77"
07/08/2022,"3,139.41","3,141.09","3,121.74","3,131.26"
07/07/2022,"3,096.89","3,129.40","3,093.47","3,129.40"
07/06/2022,"3,112.03","3,124.57","3,096.38","3,103.66"
07/05/2022,"3,130.73","3,135.05","3,099.44","3,104.11"
07/04/2022,"3,106.39","3,127.35","3,104.43","3,120.24"
07/01/2022,"3,104.25","3,121.25","3,089.40","3,095.59"
06/30/2022,"3,131.93","3,138.21","3,102.21","3,102.21"
06/29/2022,"3,125.86","3,154.76","3,123.90","3,134.87"
06/28/2022,"3,127.49","3,145.17","3,124.22","3,140.21"
06/27/2022,"3,128.72","3,142.31","3,120.39","3,137.54"
06/24/2022,"3,107.57","3,115.73","3,100.21","3,111.65"
06/23/2022,"3,107.08","3,124.45","3,092.80","3,092.80"
06/22/2022,"3,121.30","3,132.17","3,092.84","3,093.31"
06/21/2022,"3,108.67","3,127.26","3,102.84","3,117.48"
06/20/2022,"3,099.41","3,104.25","3,086.45","3,096.40"
06/17/2022,"3,079.97","3,101.77","3,072.34","3,098.09"
06/16/2022,"3,134.06","3,150.11","3,094.57","3,097.43"
06/15/2022,"3,104.62","3,128.58","3,104.19","3,105.85"
06/14/2022,"3,124.25","3,125.37","3,104.39","3,108.89"
06/13/2022,"3,161.61","3,165.54","3,138.54","3,139.35"
06/10/2022,"3,189.50","3,192.56","3,176.17","3,181.73"
06/09/2022,"3,219.12","3,225.26","3,198.38","3,209.62"
06/08/2022,"3,233.99","3,241.80","3,220.67","3,225.80"
06/07/2022,"3,224.46","3,231.54","3,214.34","3,231.54"
06/06/2022,"3,228.47","3,233.96","3,216.12","3,226.63"
06/03/2022,"3,236.70","3,245.18","3,224.89","3,231.97"
06/02/2022,"3,233.05","3,243.76","3,217.75","3,226.72"
06/01/2022,"3,242.92","3,253.15","3,237.31","3,244.00"
05/31/2022,"3,236.99","3,263.11","3,232.49","3,232.49"
05/30/2022,"3,240.16","3,246.62","3,228.65","3,238.92"
05/27/2022,"3,232.72","3,233.73","3,218.72","3,230.55"
05/26/2022,"3,203.38","3,217.88","3,201.05","3,209.18"
05/25/2022,"3,198.11","3,208.97","3,172.19","3,179.58"
05/24/2022,"3,216.91","3,224.74","3,195.04","3,195.04"
05/23/2022,"3,246.51","3,251.61","3,213.65","3,213.65"
05/20/2022,"3,214.02","3,246.13","3,210.75","3,240.58"
05/19/2022,"3,194.66","3,218.14","3,177.09","3,190.71"
05/18/2022,"3,219.98","3,241.83","3,214.14","3,225.35"
05/17/2022,"3,199.73","3,218.74","3,190.92","3,201.89"
05/13/2022,"3,196.10","3,213.22","3,189.68","3,191.16"
05/12/2022,"3,205.51","3,216.73","3,165.18","3,165.18"
05/11/2022,"3,220.53","3,232.06","3,210.67","3,226.07"
05/10/2022,"3,251.04","3,251.31","3,226.50","3,234.19"
05/09/2022,"3,279.36","3,294.88","3,270.73","3,275.07"
05/06/2022,"3,295.92","3,305.72","3,289.92","3,291.89"
05/05/2022,"3,371.24","3,373.15","3,338.61","3,343.57"
05/04/2022,"3,365.43","3,366.93","3,342.91","3,349.27"
04/29/2022,"3,368.10","3,389.64","3,344.68","3,356.90"
04/28/2022,"3,315.75","3,344.24","3,315.07","3,335.09"
04/27/2022,"3,313.08","3,322.85","3,308.03","3,320.67"
04/26/2022,"3,343.15","3,350.44","3,322.05","3,322.05"
04/25/2022,"3,334.53","3,356.66","3,329.77","3,339.59"
04/22/2022,"3,325.89","3,365.21","3,312.97","3,361.11"
04/21/2022,"3,345.15","3,359.62","3,337.04","3,348.46"
04/20/2022,"3,324.77","3,344.79","3,322.41","3,335.32"
04/19/2022,"3,320.53","3,344.66","3,307.13","3,307.13"
04/18/2022,"3,327.16","3,330.30","3,303.07","3,303.07"
04/14/2022,"3,342.68","3,359.54","3,334.07","3,335.85"
04/13/2022,"3,342.89","3,356.66","3,340.21","3,342.22"
04/12/2022,"3,347.10","3,357.46","3,330.25","3,330.25"
04/11/2022,"3,368.18","3,374.85","3,349.25","3,363.56"
04/08/2022,"3,400.52","3,402.63","3,374.34","3,383.28"
04/07/2022,"3,402.78","3,415.34","3,395.56","3,404.23"
04/06/2022,"3,432.67","3,445.90","3,419.56","3,422.95"
04/05/2022,"3,426.09","3,445.01","3,425.93","3,445.01"
04/04/2022,"3,418.72","3,424.79","3,414.82","3,416.97"
04/01/2022,"3,403.93","3,425.37","3,399.48","3,419.11"
03/31/2022,"3,443.17","3,449.53","3,408.52","3,408.52"
03/30/2022,"3,448.73","3,448.81","3,431.87","3,442.61"
03/29/2022,"3,442.20","3,456.09","3,413.35","3,433.90"
03/28/2022,"3,412.55","3,433.57","3,408.34","3,431.99"
03/25/2022,"3,397.36","3,421.97","3,396.77","3,413.69"
03/24/2022,"3,353.22","3,402.14","3,351.52","3,399.70"
03/23/2022,"3,359.92","3,370.80","3,357.48","3,364.26"
03/22/2022,"3,349.54","3,365.60","3,343.42","3,350.17"
03/21/2022,"3,345.86","3,355.51","3,355.51","3,355.51"
03/18/2022,"3,333.23","3,346.37","3,313.87","3,330.63"
03/17/2022,"3,341.03","3,345.92","3,294.78","3,322.71"
03/16/2022,"3,276.47","3,298.14","3,262.15","3,290.90"
03/15/2022,"3,236.47","3,265.90","3,227.88","3,236.04"
03/14/2022,"3,242.74","3,250.82","3,222.00","3,232.03"
03/11/2022,"3,230.28","3,251.34","3,217.56","3,249.66"
03/10/2022,"3,231.89","3,258.94","3,227.61","3,240.73"
03/09/2022,"3,136.80","3,203.38","3,136.49","3,195.38"
03/08/2022,"3,175.29","3,182.35","3,128.06","3,148.86"
03/07/2022,"3,205.30","3,222.61","3,186.01","3,187.82"
03/04/2022,"3,235.29","3,253.14","3,207.83","3,226.78"
03/03/2022,"3,264.96","3,273.99","3,253.65","3,253.65"
03/02/2022,"3,262.05","3,279.97","3,243.94","3,244.40"
03/01/2022,"3,262.49","3,288.38","3,260.96","3,278.63"
02/28/2022,"3,298.52","3,301.08","3,214.93","3,242.24"
02/25/2022,"3,286.72","3,332.66","3,286.72","3,294.47"
02/24/2022,"3,351.24","3,363.17","3,248.93","3,276.06"
02/23/2022,"3,395.25","3,401.12","3,391.18","3,393.00"
02/22/2022,"3,416.90","3,421.40","3,394.79","3,400.58"
02/21/2022,"3,421.95","3,438.53","3,417.89","3,436.36"
02/18/2022,"3,432.86","3,447.39","3,427.66","3,428.90"
02/17/2022,"3,451.42","3,466.23","3,441.57","3,441.57"
02/16/2022,"3,418.44","3,442.61","3,407.44","3,439.30"
02/15/2022,"3,418.23","3,425.62","3,407.37","3,421.38"
02/14/2022,"3,419.52","3,434.51","3,403.41","3,421.20"
02/11/2022,"3,414.45","3,438.07","3,411.87","3,428.95"
02/10/2022,"3,420.63","3,435.68","3,403.95","3,428.00"
02/09/2022,"3,397.05","3,420.04","3,394.03","3,420.04"
02/08/2022,"3,380.02","3,411.51","3,373.04","3,401.74"
02/07/2022,"3,328.64","3,366.48","3,327.63","3,366.48"
02/04/2022,"3,315.37","3,332.92","3,309.52","3,331.41"
02/03/2022,"3,302.23","3,327.11","3,290.29","3,315.99"
01/31/2022,"3,250.55","3,276.31","3,245.67","3,249.59"
01/28/2022,"3,261.05","3,272.59","3,245.15","3,246.33"
01/27/2022,"3,257.22","3,262.57","3,240.56","3,260.03"
01/26/2022,"3,253.81","3,280.48","3,250.21","3,271.57"
01/25/2022,"3,264.11","3,267.55","3,235.17","3,247.76"
01/24/2022,"3,268.19","3,294.22","3,266.15","3,283.35"
01/21/2022,"3,291.28","3,298.94","3,281.58","3,294.86"
01/20/2022,"3,282.91","3,298.09","3,269.45","3,294.82"
01/19/2022,"3,281.84","3,297.87","3,273.96","3,283.94"
01/18/2022,"3,295.08","3,299.64","3,273.46","3,280.04"
01/17/2022,"3,284.49","3,297.79","3,279.33","3,287.95"
01/14/2022,"3,264.74","3,282.41","3,262.36","3,281.97"
01/13/2022,"3,262.26","3,262.37","3,247.39","3,257.30"
01/12/2022,"3,261.26","3,263.65","3,242.59","3,254.98"
01/11/2022,"3,231.34","3,249.07","3,222.56","3,246.37"
01/10/2022,"3,211.26","3,241.41","3,209.30","3,227.05"
01/07/2022,"3,199.67","3,209.40","3,190.61","3,205.26"
01/06/2022,"3,152.75","3,186.33","3,144.81","3,184.30"
01/05/2022,"3,187.57","3,196.60","3,154.96","3,163.44"
01/04/2022,"3,155.68","3,182.53","3,151.80","3,181.13"
01/03/2022,"3,130.48","3,138.27","3,127.60","3,134.25"
12/31/2021,"3,127.11","3,139.74","3,123.68","3,123.68"
12/30/2021,"3,132.36","3,137.86","3,126.55","3,126.64"
12/29/2021,"3,135.39","3,140.52","3,132.87","3,138.02"
12/28/2021,"3,110.82","3,128.92","3,108.93","3,128.41"
12/27/2021,"3,107.63","3,113.55","3,104.24","3,104.24"
12/24/2021,"3,101.67","3,110.76","3,098.99","3,108.28"
12/23/2021,"3,098.04","3,104.18","3,090.25","3,096.81"
12/22/2021,"3,093.30","3,098.27","3,078.71","3,087.51"
12/21/2021,"3,083.74","3,101.75","3,079.34","3,085.08"
12/20/2021,"3,093.23","3,098.49","3,068.21","3,072.97"
12/17/2021,"3,122.92","3,134.99","3,111.63","3,111.63"
12/16/2021,"3,114.19","3,137.31","3,113.05","3,128.80"
12/15/2021,"3,116.85","3,120.55","3,106.63","3,114.88"
12/14/2021,"3,117.12","3,128.80","3,114.43","3,121.09"
12/13/2021,"3,156.60","3,161.95","3,119.95","3,119.95"
12/10/2021,"3,133.89","3,141.85","3,129.25","3,135.61"
12/09/2021,"3,136.86","3,152.34","3,134.40","3,142.45"
12/08/2021,"3,138.20","3,140.75","3,124.31","3,129.77"
12/07/2021,"3,123.26","3,138.41","3,120.44","3,134.66"
12/06/2021,"3,103.96","3,135.65","3,103.96","3,116.32"
12/03/2021,"3,083.26","3,109.64","3,080.29","3,101.93"
12/02/2021,"3,068.15","3,100.55","3,065.91","3,092.11"
12/01/2021,"3,052.40","3,101.52","3,045.13","3,098.25"
11/30/2021,"3,122.74","3,129.54","3,041.29","3,041.29"
11/29/2021,"3,144.17","3,147.17","3,115.97","3,120.58"
11/26/2021,"3,204.57","3,208.13","3,153.71","3,166.27"
11/25/2021,"3,224.33","3,237.52","3,217.31","3,221.52"
11/24/2021,"3,237.04","3,227.15","3,227.15","3,227.15"
11/23/2021,"3,236.32","3,237.32","3,226.76","3,227.53"
11/22/2021,"3,234.11","3,244.73","3,231.10","3,237.08"
11/19/2021,"3,233.63","3,238.97","3,227.06","3,232.34"
11/18/2021,"3,226.95","3,239.43","3,219.90","3,237.02"
11/17/2021,"3,236.44","3,237.62","3,226.29","3,232.68"
11/16/2021,"3,232.05","3,246.25","3,230.96","3,238.80"
11/15/2021,"3,228.44","3,241.85","3,222.47","3,240.58"
11/12/2021,"3,244.09","3,248.38","3,226.17","3,228.45"
11/11/2021,"3,219.68","3,238.58","3,207.32","3,238.07"
11/10/2021,"3,245.19","3,246.00","3,218.31","3,231.32"
11/09/2021,"3,267.92","3,273.54","3,239.71","3,243.42"
11/08/2021,"3,251.85","3,270.65","3,250.39","3,263.90"
11/05/2021,"3,234.41","3,242.34","3,242.34","3,242.34"
11/03/2021,"3,234.28","3,236.86","3,216.86","3,219.69"
11/02/2021,"3,225.67","3,233.00","3,213.26","3,232.37"
11/01/2021,"3,226.23","3,229.09","3,207.71","3,219.05"
10/29/2021,"3,198.17","3,227.03","3,198.17","3,198.17"
10/28/2021,"3,220.38","3,227.13","3,196.18","3,203.82"
10/27/2021,"3,206.06","3,228.05","3,202.69","3,218.17"
10/26/2021,"3,200.23","3,209.29","3,186.28","3,204.57"
10/25/2021,"3,202.51","3,209.96","3,197.24","3,201.86"
10/22/2021,"3,195.36","3,205.14","3,205.14","3,205.14"
10/21/2021,"3,203.92","3,188.50","3,188.50","3,188.50"
10/20/2021,"3,212.67","3,213.33","3,191.89","3,198.08"
10/19/2021,"3,195.45","3,205.64","3,185.39","3,199.01"
10/18/2021,"3,174.30","3,179.00","3,163.11","3,173.82"
10/15/2021,"3,180.55","3,173.91","3,173.91","3,173.91"
10/14/2021,"3,148.34","3,170.52","3,136.04","3,164.86"
10/13/2021,"3,122.78","3,161.27","3,122.56","3,156.42"
